Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
77,Mark Clayton\ClayMa01,BAL,24,WR,16,12,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,10.0,0,0,0.00,0.00,0.0,,
78,Kellen Clemens\ClemKe00,NYJ,23,,2,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.8,4,27,-5.40,-5.40,80.0,,
79,Josh Cribbs\CribJo01,CLE,23,wr,16,1,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,0,0,0.00,0.00,0.0,,
80,Ken Dorsey\DorsKe00,CLE,25,,1,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.1,1,7,-3.50,-3.50,50.0,,
81,Lee Evans\EvanLe00,BUF,25,WR,16,15,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,2.3,0,0,0.00,0.00,0.0,,
82,Jeff Feagles\FeagJe20,NYG,40,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.0,0,0,0.00,0.00,0.0,,
83,Ben Graham\GrahBe20,NYJ,33,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.0,0,0,0.00,0.00,0.0,,
84,Carlyle Holiday\HoliCa00,2TM,25,,8,2,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,0,0,0.00,0.00,0.0,,
85,Joe Horn\HornJo00,NOR,34,WR,10,9,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.0,0,0,0.00,0.00,0.0,,
86,Keyshawn Johnson\JohnKe00,CAR,34,WR,16,16,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0.0,0,0,0.00,-45.00,0.0,,
87,Larry Johnson*+\JohnLa00,KAN,27,RB,16,16,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,23.6,0,0,0.00,0.00,0.0,,
88,Thomas Jones\JoneTh00,CHI,28,RB,16,16,,1,1,100.0,-4,0,0.0,0,0.0,-4,-4.0,-4.0,-4.0,-0.3,79.2,0.2,1,1,-2.50,-2.50,50.0,,
89,Ryan Longwell\longwrya01,MIN,32,K,16,0,,1,1,100.0,16,1,100.0,0,0.0,16,16.0,36.0,16.0,1.0,158.3,56.2,0,0,16.00,36.00,0.0,,
90,Brad Maynard\MaynBr20,CHI,32,P,16,0,,1,1,100.0,37,0,0.0,0,0.0,37,37.0,37.0,37.0,2.3,118.7,100.0,0,0,37.00,37.00,0.0,,
91,Mewelde Moore\MoorMe00,MIN,24,,16,0,,1,1,100.0,15,1,100.0,0,0.0,15,15.0,35.0,15.0,0.9,158.3,100.0,0,0,15.00,35.00,0.0,,
92,Brian Moorman*+\MoorBr24,BUF,30,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,3.4,0,0,0.00,0.00,0.0,,
93,Jerious Norwood\NorwJe00,ATL,23,,14,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,2.1,0,0,0.00,0.00,0.0,,
94,Patrick Ramsey\RamsPa00,NYJ,27,,1,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,3.8,0,0,0.00,0.00,0.0,,
95,Michael Robinson\RobiMi00,SFO,23,,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.0,0,0,0.00,0.00,0.0,,
96,Jon Ryan\RyanJo21,GNB,25,P,16,0,,1,1,100.0,16,0,0.0,0,0.0,16,16.0,16.0,16.0,1.0,118.7,4.7,0,0,16.00,16.00,0.0,,
97,Mike Scifres\ScifMi20,SDG,26,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.3,0,0,0.00,0.00,0.0,,
98,Cedrick Wilson\WilsCe00,PIT,28,SE,15,12,,1,1,100.0,21,0,0.0,0,0.0,21,21.0,21.0,21.0,1.4,118.7,99.8,0,0,21.00,21.00,0.0,,
