Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
40,Vinny Testaverde\TestVi00,CAR,44,qb,7,6,2-4-0,94,172,54.7,952,5,2.9,6,3.5,65,5.5,4.5,10.1,136.0,65.8,33.8,9,46,5.01,4.07,5.0,1,1
41,Gus Frerotte\FrerGu00,STL,36,qb,8,3,1-2-0,94,167,56.3,1014,7,4.2,12,7.2,38,6.1,3.7,10.8,126.8,58.3,36.5,11,59,5.37,3.12,6.2,,
42,Chris Redman\RedmCh00,ATL,30,qb,7,4,1-3-0,89,149,59.7,1079,10,6.7,5,3.4,74,7.2,7.1,12.1,154.1,90.4,49.1,9,51,6.51,6.35,5.7,1,1
43,Quinn Gray\GrayQu00,JAX,28,qb,8,4,2-2-0,80,144,55.6,986,10,6.9,5,3.5,80,6.8,6.7,12.3,123.3,85.6,77.5,10,68,5.96,5.80,6.5,1,1
44,Trent Green\GreeTr00,MIA,37,qb,5,5,0-5-0,85,141,60.3,987,5,3.5,7,5.0,43,7.0,5.5,11.6,197.4,72.6,45.5,7,53,6.31,4.86,4.7,,
45,Luke McCown\McCoLu00,TAM,26,qb,5,3,1-2-0,94,139,67.6,1009,5,3.6,3,2.2,60,7.3,7.0,10.7,201.8,91.7,60.1,15,104,5.88,5.65,9.7,1,1
46,David Carr\CarrDa00,CAR,28,qb,6,4,1-3-0,73,136,53.7,635,3,2.2,5,3.7,38,4.7,3.5,8.7,105.8,58.3,23.7,13,74,3.77,2.66,8.7,1,1
47,Matt Leinart\LeinMa00,ARI,24,qb,5,5,3-2-0,60,112,53.6,647,2,1.8,4,3.6,40,5.8,4.5,10.8,129.4,61.9,36.8,4,23,5.38,4.17,3.4,1,1
48,Matt Moore\MoorMa01,CAR,23,qb,9,3,2-1-0,63,111,56.8,730,3,2.7,5,4.5,57,6.6,5.1,11.6,81.1,67.0,52.6,6,40,5.90,4.49,5.1,0,1
49,John Beck\BeckJo00,MIA,26,qb,5,4,0-4-0,60,107,56.1,559,1,0.9,3,2.8,22,5.2,4.1,9.3,111.8,62.0,14.6,10,69,4.19,3.21,8.5,,
50,Todd Collins\CollTo00,WAS,36,qb,4,3,3-0-0,67,105,63.8,888,5,4.8,0,0.0,54,8.5,9.4,13.3,222.0,106.4,71.8,7,47,7.51,8.40,6.3,,
51,A.J. Feeley\FeelA.00,PHI,30,qb,3,2,0-2-0,59,103,57.3,681,5,4.9,8,7.8,47,6.6,4.1,11.5,227.0,61.2,55.2,3,10,6.33,3.88,2.8,,
52,Jake Delhomme\DelhJa00,CAR,32,qb,3,3,2-1-0,55,86,64.0,624,8,9.3,1,1.2,74,7.3,8.6,11.3,208.0,111.8,64.4,5,46,6.35,7.62,5.5,,
53,Kelly Holcomb\HolcKe00,MIN,34,qb,3,3,0-3-0,42,83,50.6,515,2,2.4,1,1.2,40,6.2,6.1,12.3,171.7,73.1,26.7,12,87,4.51,4.45,12.6,,
54,Kerry Collins\CollKe00,TEN,35,qb,6,1,1-0-0,50,82,61.0,531,0,0.0,0,0.0,46,6.5,6.5,10.6,88.5,79.9,55.4,5,42,5.62,5.62,5.7,1,2
55,Kyle Orton\OrtoKy00,CHI,25,qb,3,3,2-1-0,43,80,53.8,478,3,3.8,2,2.5,55,6.0,5.6,11.1,159.3,73.9,30.1,2,12,5.68,5.32,2.4,,
56,Shaun Hill\HillSh00,SFO,27,qb,3,2,2-0-0,54,79,68.4,501,5,6.3,1,1.3,26,6.3,7.0,9.3,167.0,101.3,69.6,6,31,5.53,6.18,7.1,,
57,Troy Smith\SmitTr02,BAL,23,qb,4,2,1-1-0,40,76,52.6,452,2,2.6,0,0.0,79,5.9,6.5,11.3,113.0,79.5,58.4,4,29,5.29,5.79,5.0,,
58,JaMarcus Russell\RussJa00,OAK,22,qb,4,1,0-1-0,36,66,54.5,373,2,3.0,4,6.1,32,5.7,3.5,10.4,93.3,55.9,24.9,6,40,4.63,2.68,8.3,,
